sample	gender	CHROM	GENE	true_status	AD_hap1	AD_hap2	tot
sample1	female	X	gene_test_1	test_subject	22	291	313
sample2	female	X	gene_test_1	test_subject	23	290	313
sample3	female	X	gene_test_1	test_subject	42	271	313
sample4	female	X	gene_test_1	test_subject	40	273	313
sample5	female	X	gene_test_1	test_subject	27	286	313
sample6	female	X	gene_test_1	test_subject	40	273	313
sample7	female	X	gene_test_1	test_subject	28	285	313
sample8	female	X	gene_test_1	test_subject	50	263	313
sample9	female	X	gene_test_1	test_subject	40	273	313
sample10	female	X	gene_test_1	test_subject	57	256	313
sample11	female	X	gene_test_1	test_subject	95	218	313
sample12	female	X	gene_test_1	test_subject	83	230	313
sample13	female	X	gene_test_1	test_subject	76	237	313
sample14	female	X	gene_test_1	test_subject	79	234	313
sample15	female	X	gene_test_1	test_subject	73	240	313
sample16	female	X	gene_test_1	test_subject	83	230	313
sample17	female	X	gene_test_1	test_subject	100	213	313
sample18	female	X	gene_test_1	test_subject	92	221	313
sample19	female	X	gene_test_1	test_subject	63	250	313
sample20	female	X	gene_test_1	test_subject	73	240	313
sample21	female	X	gene_test_1	test_subject	35	278	313
sample22	female	X	gene_test_1	test_subject	30	283	313
sample23	female	X	gene_test_1	test_subject	27	286	313
sample24	female	X	gene_test_1	test_subject	38	275	313
sample25	female	X	gene_test_1	test_subject	35	278	313
sample26	female	X	gene_test_1	test_subject	35	278	313
sample27	female	X	gene_test_1	test_subject	30	283	313
sample28	female	X	gene_test_1	test_subject	36	277	313
sample29	female	X	gene_test_1	test_subject	29	284	313
sample30	female	X	gene_test_1	test_subject	32	281	313
sample31	female	X	gene_test_1	test_subject	53	260	313
sample32	female	X	gene_test_1	test_subject	77	236	313
sample33	female	X	gene_test_1	test_subject	79	234	313
sample34	female	X	gene_test_1	test_subject	87	226	313
sample35	female	X	gene_test_1	test_subject	66	247	313
sample36	female	X	gene_test_1	test_subject	80	233	313
sample37	female	X	gene_test_1	test_subject	91	222	313
sample38	female	X	gene_test_1	test_subject	87	226	313
sample39	female	X	gene_test_1	test_subject	92	221	313
sample40	female	X	gene_test_1	test_subject	89	224	313
sample1	female	X	gene_test_11	test_escape	21	21	42
sample2	female	X	gene_test_11	test_escape	20	22	42
sample3	female	X	gene_test_11	test_escape	19	23	42
sample4	female	X	gene_test_11	test_escape	15	27	42
sample5	female	X	gene_test_11	test_escape	16	26	42
sample6	female	X	gene_test_11	test_escape	16	26	42
sample7	female	X	gene_test_11	test_escape	20	22	42
sample8	female	X	gene_test_11	test_escape	19	23	42
sample9	female	X	gene_test_11	test_escape	19	23	42
sample10	female	X	gene_test_11	test_escape	22	20	42
sample11	female	X	gene_test_11	test_escape	15	27	42
sample12	female	X	gene_test_11	test_escape	25	17	42
sample13	female	X	gene_test_11	test_escape	19	23	42
sample14	female	X	gene_test_11	test_escape	23	19	42
sample15	female	X	gene_test_11	test_escape	12	30	42
sample16	female	X	gene_test_11	test_escape	16	26	42
sample17	female	X	gene_test_11	test_escape	21	21	42
sample18	female	X	gene_test_11	test_escape	25	17	42
sample19	female	X	gene_test_11	test_escape	19	23	42
sample20	female	X	gene_test_11	test_escape	15	27	42
sample21	female	X	gene_test_11	test_escape	25	17	42
sample22	female	X	gene_test_11	test_escape	21	21	42
sample23	female	X	gene_test_11	test_escape	24	18	42
sample24	female	X	gene_test_11	test_escape	18	24	42
sample25	female	X	gene_test_11	test_escape	13	29	42
sample26	female	X	gene_test_11	test_escape	12	30	42
sample27	female	X	gene_test_11	test_escape	15	27	42
sample28	female	X	gene_test_11	test_escape	16	26	42
sample29	female	X	gene_test_11	test_escape	19	23	42
sample30	female	X	gene_test_11	test_escape	15	27	42
sample31	female	X	gene_test_11	test_escape	17	25	42
sample32	female	X	gene_test_11	test_escape	23	19	42
sample33	female	X	gene_test_11	test_escape	19	23	42
sample34	female	X	gene_test_11	test_escape	23	19	42
sample35	female	X	gene_test_11	test_escape	13	29	42
sample36	female	X	gene_test_11	test_escape	16	26	42
sample37	female	X	gene_test_11	test_escape	17	25	42
sample38	female	X	gene_test_11	test_escape	25	17	42
sample39	female	X	gene_test_11	test_escape	15	27	42
sample40	female	X	gene_test_11	test_escape	25	17	42
sample1	female	X	gene_test_13	test_subject	11	105	116
sample2	female	X	gene_test_13	test_subject	16	100	116
sample3	female	X	gene_test_13	test_subject	15	101	116
sample4	female	X	gene_test_13	test_subject	10	106	116
sample5	female	X	gene_test_13	test_subject	18	98	116
sample6	female	X	gene_test_13	test_subject	14	102	116
sample7	female	X	gene_test_13	test_subject	14	102	116
